rank,location_name,year,cause_name,val,total_deaths,share
1,Nepal,2000,Lower respiratory infections,17228.678792055634,197330.3272502659,0.08730882390016621
2,Nepal,2000,Ischemic heart disease,12907.99325972977,197330.3272502659,0.06541312447811985
3,Nepal,2000,Chronic obstructive pulmonary disease,12334.502058235255,197330.3272502659,0.06250687479270187
4,Nepal,2000,Diarrheal diseases,11978.914610258638,197330.3272502659,0.06070488392322117
5,Nepal,2000,Drug-susceptible tuberculosis,9512.668289352114,197330.3272502659,0.0482068236641983
6,Nepal,2000,Total cancers,8679.46459960322,197330.3272502659,0.043984443347095926
7,Nepal,2000,Total Cancers excluding Non-melanoma skin cancer,8644.27149489525,197330.3272502659,0.04380609719423451
8,Nepal,2000,Measles,8276.846135527418,197330.3272502659,0.04194411599505552
9,Nepal,2000,Neonatal encephalopathy due to birth asphyxia and trauma,7991.454470719567,197330.3272502659,0.040497852418722925
10,Nepal,2000,Intracerebral hemorrhage,5791.971205093592,197330.3272502659,0.029351652560469708
11,Nepal,2000,Neonatal preterm birth,4488.141117967027,197330.3272502659,0.022744304844104894
12,Nepal,2000,Ischemic stroke,4226.902957388157,197330.3272502659,0.02142044264705116
13,Nepal,2000,Rheumatic heart disease,3597.0823101982332,197330.3272502659,0.018228735341001095
14,Nepal,2000,Protein-energy malnutrition,3405.573046416859,197330.3272502659,0.017258234422819922
15,Nepal,2000,Neonatal sepsis and other neonatal infections,2914.1232642920845,197330.3272502659,0.014767741506840064
16,Nepal,2000,Typhoid fever,2883.9140022478095,197330.3272502659,0.014614651698166297
17,Nepal,2000,Peptic ulcer disease,2833.5281502325593,197330.3272502659,0.014359314098936819
18,Nepal,2000,Asthma,2719.203900907482,197330.3272502659,0.01377995941525414
19,Nepal,2000,Self-harm by other specified means,2713.1346903759454,197330.3272502659,0.01374920281227218
20,Nepal,2000,Diabetes mellitus type 2,2560.285439560009,197330.3272502659,0.012974617106436482
21,Nepal,2000,Other neonatal disorders,2441.3271089575605,197330.3272502659,0.01237177854502479
22,Nepal,2000,Drowning,2232.0712613793285,197330.3272502659,0.011311344244356748
23,Nepal,2000,Falls,2006.2022051719653,197330.3272502659,0.010166720103938114
24,Nepal,2000,Total burden related to hepatitis B,1993.2441033110565,197330.3272502659,0.010101053046869514
25,Nepal,2000,Tetanus,1988.7061290759432,197330.3272502659,0.010078056205490144
26,Nepal,2000,Chronic hepatitis B including cirrhosis,1875.7938807707276,197330.3272502659,0.009505857041384905
27,Nepal,2000,Hypertensive heart disease,1856.1675167126416,197330.3272502659,0.009406397600296589
28,Nepal,2000,Hemolytic disease and other neonatal jaundice,1800.8103613412034,197330.3272502659,0.00912586720163551
29,Nepal,2000,Congenital heart anomalies,1673.6541969361328,197330.3272502659,0.008481484930664035
30,Nepal,2000,Cirrhosis due to alcohol,1428.9995810485373,197330.3272502659,0.0072416622470614775
